DriverId,TeamId,Position,Season,Engine2020,Engine2021,Engine2022,Engine2023,Engine2024,Rating
bottas,mercedes,1.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,90.0
leclerc,ferrari,2.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,86.0
norris,mclaren,3.0,2020,renault,mercedes,mercedes,mercedes,mercedes,79.0
hamilton,mercedes,4.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,94.0
sainz,mclaren,5.0,2020,renault,mercedes,mercedes,mercedes,mercedes,82.0
perez,aston_martin,6.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,85.0
gasly,rb,7.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
ocon,alpine,8.0,2020,renault,renault,renault,renault,renault,80.0
giovinazzi,sauber,9.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,73.0
vettel,ferrari,10.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,89.0
latifi,williams,11.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,64.0
kvyat,rb,12.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
albon,red_bull,13.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,79.0
raikkonen,sauber,14.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,87.0
russell,williams,15.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,75.0
grosjean,haas,16.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,80.0
kevin_magnussen,haas,17.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,78.0
stroll,aston_martin,18.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,78.0
ricciardo,alpine,19.0,2020,renault,renault,renault,renault,renault,87.0
max_verstappen,red_bull,20.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,90.0
hamilton,mercedes,1.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,94.0
bottas,mercedes,2.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,90.0
max_verstappen,red_bull,3.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,90.0
albon,red_bull,4.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,79.0
norris,mclaren,5.0,2020,renault,mercedes,mercedes,mercedes,mercedes,79.0
perez,aston_martin,6.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,85.0
stroll,aston_martin,7.0,2020,mercedes,mercedes,mercedes,mercedes,mercedes,78.0
ricciardo,alpine,8.0,2020,renault,renault,renault,renault,renault,87.0
sainz,mclaren,9.0,2020,renault,mercedes,mercedes,mercedes,mercedes,82.0
kvyat,rb,10.0,2020,rbpt,rbpt,rbpt,rbpt,rbpt,80.0
raikkonen,sauber,11.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,87.0
kevin_magnussen,haas,12.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,78.0
grosjean,haas,13.0,2020,ferrari,ferrari,ferrari,ferrari,ferrari,80.0
