TeamId,Season,Engine
mercedes,2020,mercedes
ferrari,2020,ferrari
red_bull,2020,rbpt
mclaren,2020,renault
alpine,2020,renault
williams,2020,mercedes
aston_martin,2020,mercedes
haas,2020,ferrari
rb,2020,rbpt
sauber,2020,ferrari
mercedes,2021,mercedes
ferrari,2021,ferrari
red_bull,2021,rbpt
mclaren,2021,mercedes
alpine,2021,renault
williams,2021,mercedes
aston_martin,2021,mercedes
haas,2021,ferrari
rb,2021,rbpt
sauber,2021,ferrari
mercedes,2022,mercedes
ferrari,2022,ferrari
red_bull,2022,rbpt
mclaren,2022,mercedes
alpine,2022,renault
williams,2022,mercedes
aston_martin,2022,mercedes
haas,2022,ferrari
rb,2022,rbpt
sauber,2022,ferrari
mercedes,2023,mercedes
ferrari,2023,ferrari
red_bull,2023,rbpt
mclaren,2023,mercedes
alpine,2023,renault
williams,2023,mercedes
aston_martin,2023,mercedes
haas,2023,ferrari
rb,2023,rbpt
sauber,2023,ferrari
mercedes,2024,mercedes
ferrari,2024,ferrari
red_bull,2024,rbpt
mclaren,2024,mercedes
alpine,2024,renault
williams,2024,mercedes
aston_martin,2024,mercedes
haas,2024,ferrari
rb,2024,rbpt
sauber,2024,ferrari
