DriverId,Rating,Season
max_verstappen,90,2020
albon,79,2020
perez,85,2020
stroll,78,2020
gasly,80,2020
kvyat,80,2020
hamilton,94,2020
bottas,90,2020
ricciardo,87,2020
ocon,80,2020
russell,75,2020
latifi,64,2020
leclerc,86,2020
vettel,89,2020
raikkonen,87,2020
giovinazzi,73,2020
kevin_magnussen,78,2020
grosjean,80,2020
sainz,82,2020
norris,79,2020
max_verstappen,95,2021
hamilton,95,2021
norris,91,2021
tsunoda,82,2021
bottas,92,2021
gasly,90,2021
alonso,89,2021
giovinazzi,79,2021
latifi,71,2021
leclerc,88,2021
mazepin,67,2021
ocon,86,2021
perez,87,2021
raikkonen,87,2021
ricciardo,90,2021
russell,84,2021
sainz,87,2021
mick_schumacher,76,2021
stroll,83,2021
vettel,89,2021
max_verstappen,94,2022
hamilton,94,2022
bottas,88,2022
perez,88,2022
sainz,87,2022
norris,90,2022
leclerc,92,2022
ricciardo,83,2022
gasly,84,2022
alonso,89,2022
ocon,83,2022
vettel,85,2022
stroll,80,2022
tsunoda,78,2022
russell,90,2022
latifi,70,2022
mick_schumacher,77,2022
kevin_magnussen,81,2022
albon,82,2022
zhou,70,2022
max_verstappen,94,2023
alonso,92,2023
hamilton,92,2023
leclerc,89,2023
norris,89,2023
perez,89,2023
sainz,88,2023
russell,88,2023
bottas,87,2023
ocon,86,2023
gasly,85,2023
stroll,84,2023
albon,83,2023
tsunoda,83,2023
kevin_magnussen,81,2023
hulkenberg,80,2023
zhou,78,2023
piastri,74,2023
sargeant,71,2023
de_vries,71,2023
max_verstappen,96,2024
alonso,92,2024
sainz,89,2024
leclerc,89,2024
norris,89,2024
hamilton,89,2024
russell,87,2024
perez,87,2024
albon,85,2024
piastri,84,2024
gasly,84,2024
ocon,83,2024
ricciardo,82,2024
hulkenberg,82,2024
bottas,81,2024
tsunoda,81,2024
kevin_magnussen,80,2024
stroll,80,2024
zhou,80,2024
sargeant,70,2024
