Season,DriverId,SeasonStanding,Rating,TeamId,Engine
2020,hamilton,1,94.0,mercedes,mercedes
2020,bottas,2,90.0,mercedes,mercedes
2020,max_verstappen,3,90.0,red_bull,rbpt
2020,perez,4,85.0,aston_martin,mercedes
2020,ricciardo,5,87.0,alpine,renault
2020,albon,6,79.0,red_bull,rbpt
2020,sainz,7,82.0,mclaren,renault
2020,leclerc,8,86.0,ferrari,ferrari
2020,norris,9,79.0,mclaren,renault
2020,gasly,10,80.0,rb,rbpt
2020,stroll,11,78.0,aston_martin,mercedes
2020,ocon,12,80.0,alpine,renault
2020,vettel,13,89.0,ferrari,ferrari
2020,kvyat,14,80.0,rb,rbpt
2020,giovinazzi,15,73.0,sauber,ferrari
2020,raikkonen,16,87.0,sauber,ferrari
2020,grosjean,17,80.0,haas,ferrari
2020,russell,18,75.0,williams,mercedes
2020,russell,18,75.0,mercedes,mercedes
2020,kevin_magnussen,19,78.0,haas,ferrari
2020,latifi,20,64.0,williams,mercedes
2021,max_verstappen,1,95.0,red_bull,rbpt
2021,hamilton,2,95.0,mercedes,mercedes
2021,bottas,3,92.0,mercedes,mercedes
2021,perez,4,87.0,red_bull,rbpt
2021,sainz,5,87.0,ferrari,ferrari
2021,leclerc,6,88.0,ferrari,ferrari
2021,norris,7,91.0,mclaren,mercedes
2021,ricciardo,8,90.0,mclaren,mercedes
2021,gasly,9,90.0,rb,rbpt
2021,alonso,10,89.0,alpine,renault
2021,ocon,11,86.0,alpine,renault
2021,vettel,12,89.0,aston_martin,mercedes
2021,stroll,13,83.0,aston_martin,mercedes
2021,tsunoda,14,82.0,rb,rbpt
2021,russell,15,84.0,williams,mercedes
2021,raikkonen,16,87.0,sauber,ferrari
2021,latifi,17,71.0,williams,mercedes
2021,giovinazzi,18,79.0,sauber,ferrari
2021,mazepin,19,67.0,haas,ferrari
2021,mick_schumacher,20,76.0,haas,ferrari
2022,max_verstappen,1,94.0,red_bull,rbpt
2022,perez,2,88.0,red_bull,rbpt
2022,leclerc,3,92.0,ferrari,ferrari
2022,russell,4,90.0,mercedes,mercedes
2022,hamilton,5,94.0,mercedes,mercedes
2022,sainz,6,87.0,ferrari,ferrari
2022,norris,7,90.0,mclaren,mercedes
2022,ocon,8,83.0,alpine,renault
2022,alonso,9,89.0,alpine,renault
2022,bottas,10,88.0,sauber,ferrari
2022,vettel,11,85.0,aston_martin,mercedes
2022,ricciardo,12,83.0,mclaren,mercedes
2022,gasly,13,84.0,rb,rbpt
2022,kevin_magnussen,14,81.0,haas,ferrari
2022,stroll,15,80.0,aston_martin,mercedes
2022,mick_schumacher,16,77.0,haas,ferrari
2022,tsunoda,17,78.0,rb,rbpt
2022,zhou,18,70.0,sauber,ferrari
2022,albon,19,82.0,williams,mercedes
2022,latifi,20,70.0,williams,mercedes
2023,max_verstappen,1,94.0,red_bull,rbpt
2023,perez,2,89.0,red_bull,rbpt
2023,hamilton,3,92.0,mercedes,mercedes
2023,alonso,4,92.0,aston_martin,mercedes
2023,leclerc,5,89.0,ferrari,ferrari
2023,norris,6,89.0,mclaren,mercedes
2023,sainz,7,88.0,ferrari,ferrari
2023,russell,8,88.0,mercedes,mercedes
2023,piastri,9,74.0,mclaren,mercedes
2023,stroll,10,84.0,aston_martin,mercedes
2023,ocon,11,86.0,alpine,renault
2023,gasly,12,85.0,alpine,renault
2023,albon,13,83.0,williams,mercedes
2023,tsunoda,14,83.0,rb,rbpt
2023,bottas,15,87.0,sauber,ferrari
2023,hulkenberg,16,80.0,haas,ferrari
2023,zhou,17,78.0,sauber,ferrari
2023,kevin_magnussen,18,81.0,haas,ferrari
2023,sargeant,19,71.0,williams,mercedes
2023,de_vries,20,71.0,rb,rbpt
2024,max_verstappen,1,96.0,red_bull,rbpt
2024,norris,2,89.0,mclaren,mercedes
2024,leclerc,3,89.0,ferrari,ferrari
2024,piastri,4,84.0,mclaren,mercedes
2024,sainz,5,89.0,ferrari,ferrari
2024,russell,6,87.0,mercedes,mercedes
2024,hamilton,7,89.0,mercedes,mercedes
2024,perez,8,87.0,red_bull,rbpt
2024,alonso,9,92.0,aston_martin,mercedes
2024,gasly,10,84.0,alpine,renault
2024,hulkenberg,11,82.0,haas,ferrari
2024,tsunoda,12,81.0,rb,rbpt
2024,stroll,13,80.0,aston_martin,mercedes
2024,ocon,14,83.0,alpine,renault
2024,kevin_magnussen,15,80.0,haas,ferrari
2024,albon,16,85.0,williams,mercedes
2024,ricciardo,17,82.0,rb,rbpt
2024,zhou,18,80.0,sauber,ferrari
2024,bottas,19,81.0,sauber,ferrari
2024,sargeant,20,70.0,williams,mercedes
