Team;2019;2020;2021;2022;2023;2024
Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes
Ferrari;Ferrari;Ferrari;Ferrari;Ferrari;Ferrari;Ferrari
Red Bull;Honda;Honda;Honda;Red Bull Powertrains (Honda);Red Bull Powertrains (Honda);Red Bull Powertrains (Honda)
McLaren;Renault;Renault;Mercedes;Mercedes;Mercedes;Mercedes
Renault/Alpine;Renault;Renault;Renault;Renault;Renault;Renault
Williams;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes
Racing Point/Aston Martin;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes
Haas;Ferrari;Ferrari;Ferrari;Ferrari;Ferrari;Ferrari
VCARB (ex-AlphaTauri/Toro Rosso);Honda;Honda;Honda;Red Bull Powertrains (Honda);Red Bull Powertrains (Honda);Red Bull Powertrains (Honda)
Stake (ex-Alfa Romeo);Ferrari;Ferrari;Ferrari;Ferrari;Ferrari;Ferrari
