DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
77,BOT,bottas,mercedes,1.0,Austrian Grand Prix,1,2020
16,LEC,leclerc,ferrari,2.0,Austrian Grand Prix,1,2020
4,NOR,norris,mclaren,3.0,Austrian Grand Prix,1,2020
44,HAM,hamilton,mercedes,4.0,Austrian Grand Prix,1,2020
55,SAI,sainz,mclaren,5.0,Austrian Grand Prix,1,2020
11,PER,perez,racing_point,6.0,Austrian Grand Prix,1,2020
10,GAS,gasly,alphatauri,7.0,Austrian Grand Prix,1,2020
31,OCO,ocon,renault,8.0,Austrian Grand Prix,1,2020
99,GIO,giovinazzi,alfa,9.0,Austrian Grand Prix,1,2020
5,VET,vettel,ferrari,10.0,Austrian Grand Prix,1,2020
6,LAT,latifi,williams,11.0,Austrian Grand Prix,1,2020
26,KVY,kvyat,alphatauri,12.0,Austrian Grand Prix,1,2020
23,ALB,albon,red_bull,13.0,Austrian Grand Prix,1,2020
7,RAI,raikkonen,alfa,14.0,Austrian Grand Prix,1,2020
63,RUS,russell,williams,15.0,Austrian Grand Prix,1,2020
8,GRO,grosjean,haas,16.0,Austrian Grand Prix,1,2020
20,MAG,kevin_magnussen,haas,17.0,Austrian Grand Prix,1,2020
18,STR,stroll,racing_point,18.0,Austrian Grand Prix,1,2020
3,RIC,ricciardo,renault,19.0,Austrian Grand Prix,1,2020
33,VER,max_verstappen,red_bull,20.0,Austrian Grand Prix,1,2020
44,HAM,hamilton,mercedes,1.0,Styrian Grand Prix,2,2020
77,BOT,bottas,mercedes,2.0,Styrian Grand Prix,2,2020
33,VER,max_verstappen,red_bull,3.0,Styrian Grand Prix,2,2020
23,ALB,albon,red_bull,4.0,Styrian Grand Prix,2,2020
4,NOR,norris,mclaren,5.0,Styrian Grand Prix,2,2020
11,PER,perez,racing_point,6.0,Styrian Grand Prix,2,2020
18,STR,stroll,racing_point,7.0,Styrian Grand Prix,2,2020
3,RIC,ricciardo,renault,8.0,Styrian Grand Prix,2,2020
55,SAI,sainz,mclaren,9.0,Styrian Grand Prix,2,2020
26,KVY,kvyat,alphatauri,10.0,Styrian Grand Prix,2,2020
7,RAI,raikkonen,alfa,11.0,Styrian Grand Prix,2,2020
20,MAG,kevin_magnussen,haas,12.0,Styrian Grand Prix,2,2020
8,GRO,grosjean,haas,13.0,Styrian Grand Prix,2,2020
99,GIO,giovinazzi,alfa,14.0,Styrian Grand Prix,2,2020
10,GAS,gasly,alphatauri,15.0,Styrian Grand Prix,2,2020
63,RUS,russell,williams,16.0,Styrian Grand Prix,2,2020
6,LAT,latifi,williams,17.0,Styrian Grand Prix,2,2020
